Date : 2024-01-12 11:33:03
Directory : d:\Projects\FlutterProjects\neuroparenting
Total : 115 files,  5603 codes, 354 comments, 519 blanks, all 6476 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Projects\FlutterProjects\neuroparenting\README.md                                                          | Markdown   |         14 |          0 |          7 |         21 |
| d:\Projects\FlutterProjects\neuroparenting\analysis_options.yaml                                              | YAML       |          3 |         22 |          4 |         29 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\build.gradle                                           | Groovy     |         58 |          5 |         13 |         76 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\google-services.json                                   | JSON       |         30 |          0 |          0 |         30 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\debug\AndroidManifest.xml                          | XML        |          3 |          4 |          1 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\AndroidManifest.xml                           | XML        |         17 |          6 |          2 |         25 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-night-v21\launch_background.xml  | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-night\launch_background.xml      | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-v21\launch_background.xml        | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable\launch_background.xml            | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night-v31\styles.xml               | XML        |         15 |          7 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night\styles.xml                   | XML        |         13 |          9 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-v31\styles.xml                     | XML        |         15 |          7 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values\styles.xml                         | XML        |         13 |          9 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\profile\AndroidManifest.xml                        | XML        |          3 |          4 |          1 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\android\build.gradle                                               | Groovy     |         31 |          2 |          8 |         41 |
| d:\Projects\FlutterProjects\neuroparenting\android\gradle.properties                                          | Properties |          4 |          0 |          0 |          4 |
| d:\Projects\FlutterProjects\neuroparenting\android\gradle\wrapper\gradle-wrapper.properties                   | Properties |          5 |          0 |          1 |          6 |
| d:\Projects\FlutterProjects\neuroparenting\android\settings.gradle                                            | Groovy     |         24 |          0 |          6 |         30 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\english_lang.svg                                      | XML        |         61 |          0 |          0 |         61 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\indonesian_lang.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\logo_black.svg                                        | XML        |         38 |          0 |          1 |         39 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_dark.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_light.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_dark.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_light.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_dark.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_light.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_dark.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_light.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_dark.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_light.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_dark.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_light.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_dark.svg                                   | XML        |         40 |          0 |          0 |         40 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_light.svg                                  | XML        |         40 |          0 |          0 |         40 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1.svg                                           | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_dark.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_light.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_dark.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_light.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\lang\en.json                                                | JSON       |         11 |          0 |          0 |         11 |
| d:\Projects\FlutterProjects\neuroparenting\assets\lang\id.json                                                | JSON       |         11 |          0 |          0 |         11 |
| d:\Projects\FlutterProjects\neuroparenting\ios\RunnerTests\RunnerTests.swift                                  | Swift      |          7 |          2 |          4 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\AppDelegate.swift                                       | Swift      |         12 |          0 |          2 |         14 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON       |        122 |          0 |          1 |        123 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json | JSON       |         22 |          0 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json      | JSON       |         56 |          0 |          1 |         57 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md          | Markdown   |          3 |          0 |          2 |          5 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\LaunchScreen.storyboard                      | XML        |         43 |          1 |          1 |         45 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\Main.storyboard                              | XML        |         25 |          1 |          1 |         27 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Runner-Bridging-Header.h                                | C++        |          1 |          0 |          1 |          2 |
| d:\Projects\FlutterProjects\neuroparenting\ios\firebase_app_id_file.json                                      | JSON       |          7 |          0 |          0 |          7 |
| d:\Projects\FlutterProjects\neuroparenting\lib\firebase_options.dart                                          | Dart       |         68 |         12 |          6 |         86 |
| d:\Projects\FlutterProjects\neuroparenting\lib\main.dart                                                      | Dart       |         58 |          1 |         10 |         69 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\homebody.dart                                              | Dart       |        165 |          3 |          9 |        177 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart                                              | Dart       |        159 |          1 |         13 |        173 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations.dart                        | Dart       |         23 |          0 |          9 |         32 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations_delegate.dart               | Dart       |         17 |          0 |          5 |         22 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\article\article.dart                                 | Dart       |        484 |          2 |         31 |        517 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\change_password.dart                            | Dart       |        231 |          6 |          5 |        242 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart                            | Dart       |        162 |          0 |          6 |        168 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart                                      | Dart       |        180 |          2 |          5 |        187 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\parent_selection.dart                           | Dart       |        165 |          0 |          4 |        169 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart                                   | Dart       |        340 |         11 |          7 |        358 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\start.dart                                      | Dart       |        142 |          1 |          5 |        148 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\verify_email.dart                               | Dart       |        174 |          3 |          5 |        182 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth_func\register_api.dart                          | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\campaign\campaign.dart                               | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chatbot.dart                                 | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\consult\consult.dart                                 | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\course\course.dart                                   | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\forum.dart                                     | Dart       |        336 |          4 |         11 |        351 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\games\games.dart                                     | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_base.dart                      | Dart       |         53 |          0 |          5 |         58 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_screen.dart                    | Dart       |        146 |          8 |          6 |        160 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\settings.dart                               | Dart       |        195 |          4 |         12 |        211 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\under_construction\under_construction.dart           | Dart       |        123 |          0 |          5 |        128 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\language_changer.dart                        | Dart       |         44 |          0 |          4 |         48 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\theme_changer.dart                           | Dart       |         12 |          0 |          4 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\file_picking.dart                            | Dart       |         40 |          0 |          7 |         47 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\localization_change.dart                     | Dart       |         16 |          1 |          4 |         21 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_change.dart                            | Dart       |         20 |          0 |          4 |         24 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_controller.dart                        | Dart       |          4 |          0 |          2 |          6 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\invert_color.dart                                    | Dart       |          7 |          0 |          3 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\theme.dart                                           | Dart       |         41 |          0 |          5 |         46 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.cc                       | C++        |         15 |          4 |          5 |         24 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.h                        | C++        |          5 |          5 |          6 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugins.cmake                              | CMake      |         21 |          0 |          6 |         27 |
| d:\Projects\FlutterProjects\neuroparenting\linux\main.cc                                                      | C++        |          5 |          0 |          2 |          7 |
| d:\Projects\FlutterProjects\neuroparenting\linux\my_application.cc                                            | C++        |         74 |         11 |         20 |        105 |
| d:\Projects\FlutterProjects\neuroparenting\linux\my_application.h                                             | C++        |          7 |          7 |          5 |         19 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Flutter\GeneratedPluginRegistrant.swift                      | Swift      |         26 |          3 |          4 |         33 |
| d:\Projects\FlutterProjects\neuroparenting\macos\RunnerTests\RunnerTests.swift                                | Swift      |          7 |          2 |          4 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\AppDelegate.swift                                     | Swift      |          8 |          0 |          2 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |         68 |          0 |          0 |         68 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Base.lproj\MainMenu.xib                               | XML        |        343 |          0 |          1 |        344 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\MainFlutterWindow.swift                               | Swift      |         12 |          0 |          4 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\macos\firebase_app_id_file.json                                    | JSON       |          7 |          0 |          0 |          7 |
| d:\Projects\FlutterProjects\neuroparenting\public\index.html                                                  | HTML       |         79 |          6 |          5 |         90 |
| d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml                                                       | YAML       |         78 |         58 |         19 |        155 |
| d:\Projects\FlutterProjects\neuroparenting\test\widget_test.dart                                              | Dart       |         14 |         10 |          7 |         31 |
| d:\Projects\FlutterProjects\neuroparenting\web\index.html                                                     | HTML       |        103 |         16 |         16 |        135 |
| d:\Projects\FlutterProjects\neuroparenting\web\manifest.json                                                  | JSON       |         35 |          0 |          0 |         35 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc                     | C++        |         30 |          4 |          5 |         39 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugins.cmake                            | CMake      |         27 |          0 |          6 |         33 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.cpp                                  | C++        |         49 |          7 |         16 |         72 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.h                                    | C++        |         20 |          5 |          9 |         34 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\main.cpp                                            | C++        |         30 |          4 |         10 |         44 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\resource.h                                          | C++        |          9 |          6 |          2 |         17 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.cpp                                           | C++        |         54 |          2 |         10 |         66 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.h                                             | C++        |          8 |          6 |          6 |         20 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.cpp                                    | C++        |        210 |         24 |         55 |        289 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.h                                      | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                         |            |      5,603 |        354 |        519 |      6,476 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
