Date : 2024-01-09 10:37:27
Directory : d:\Projects\FlutterProjects\neuroparenting
Total : 85 files,  2181 codes, 300 comments, 371 blanks, all 2852 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Projects\FlutterProjects\neuroparenting\README.md                                                     | Markdown   |         14 |          0 |          7 |         21 |
| d:\Projects\FlutterProjects\neuroparenting\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\build.gradle                                      | Groovy     |         55 |          5 |         12 |         72 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\google-services.json                              | JSON       |         29 |          0 |          0 |         29 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\AndroidManifest.xml                      | XML        |         27 |          6 |          1 |         34 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\android\build.gradle                                          | Groovy     |         29 |          2 |          8 |         39 |
| d:\Projects\FlutterProjects\neuroparenting\android\gradle.properties                                     | Properties |          4 |          0 |          0 |          4 |
| d:\Projects\FlutterProjects\neuroparenting\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| d:\Projects\FlutterProjects\neuroparenting\android\settings.gradle                                       | Groovy     |         24 |          0 |          6 |         30 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\english_lang.svg                                 | XML        |         61 |          0 |          0 |         61 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\indonesian_lang.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_dark.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_light.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_dark.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_light.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_dark.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_light.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\lang\en.json                                           | JSON       |          8 |          0 |          0 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\assets\lang\id.json                                           | JSON       |          8 |          0 |          0 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| d:\Projects\FlutterProjects\neuroparenting\lib\main.dart                                                 | Dart       |         54 |          1 |         10 |         65 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart                                         | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations.dart                   | Dart       |         23 |          0 |          9 |         32 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations_delegate.dart          | Dart       |         17 |          0 |          5 |         22 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\translate_lang.dart                      | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart                       | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart                                 | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\parent_selection.dart                      | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart                              | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\start.dart                                 | Dart       |         99 |          1 |          5 |        105 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\campaign\campaign.dart                          | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chatbot.dart                            | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\consult\consult.dart                            | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\course\course.dart                              | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\forum.dart                                | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\games\games.dart                                | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_base.dart                 | Dart       |         55 |          0 |          5 |         60 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_screen.dart               | Dart       |        139 |          8 |          6 |        153 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\settings.dart                          | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\language_changer.dart                   | Dart       |         37 |          0 |          4 |         41 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\theme_changer.dart                      | Dart       |         12 |          0 |          4 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\localization_change.dart                | Dart       |         16 |          1 |          4 |         21 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_change.dart                       | Dart       |         15 |          0 |          3 |         18 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\theme.dart                                      | Dart       |         41 |          0 |          5 |         46 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugins.cmake                         | CMake      |         19 |          0 |          6 |         25 |
| d:\Projects\FlutterProjects\neuroparenting\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| d:\Projects\FlutterProjects\neuroparenting\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| d:\Projects\FlutterProjects\neuroparenting\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |          8 |          3 |          4 |         15 |
| d:\Projects\FlutterProjects\neuroparenting\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml                                                  | YAML       |         29 |         58 |         15 |        102 |
| d:\Projects\FlutterProjects\neuroparenting\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| d:\Projects\FlutterProjects\neuroparenting\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| d:\Projects\FlutterProjects\neuroparenting\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc                | C++        |          6 |          4 |          5 |         15 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugins.cmake                       | CMake      |         19 |          0 |          6 |         25 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                    |            |      2,181 |        300 |        371 |      2,852 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
