Date : 2024-01-18 07:23:56
Directory : d:\Projects\FlutterProjects\neuroparenting
Total : 133 files,  8220 codes, 480 comments, 710 blanks, all 9410 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Projects\FlutterProjects\neuroparenting\ios\firebase_app_id_file.json                                      | JSON       |          7 |          0 |          0 |          7 |
| d:\Projects\FlutterProjects\neuroparenting\lib\firebase_options.dart                                          | Dart       |         68 |         12 |          6 |         86 |
| d:\Projects\FlutterProjects\neuroparenting\lib\main.dart                                                      | Dart       |         66 |          1 |         10 |         77 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\forgot_password_api.dart                           | Dart       |         36 |          1 |          4 |         41 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\login_api.dart                                     | Dart       |         42 |         13 |          6 |         61 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\logout.dart                                        | Dart       |          7 |          0 |          3 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\register_api.dart                                  | Dart       |         51 |         11 |         13 |         75 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\forum\forum_api.dart                                    | Dart       |        258 |         16 |         32 |        306 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\homepage\homepage_api.dart                              | Dart       |         14 |          1 |          4 |         19 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_email_api.dart                          | Dart       |         17 |          0 |          4 |         21 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_name_api.dart                           | Dart       |         45 |          2 |         10 |         57 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_password_api.dart                       | Dart       |         29 |          2 |          7 |         38 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\homebody.dart                                              | Dart       |        170 |          3 |          9 |        182 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart                                              | Dart       |        210 |          3 |         16 |        229 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations.dart                        | Dart       |         23 |          0 |          9 |         32 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations_delegate.dart               | Dart       |         17 |          0 |          5 |         22 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\article\article.dart                                 | Dart       |        484 |          2 |         32 |        518 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart                            | Dart       |        197 |          5 |          7 |        209 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart                                      | Dart       |        222 |          7 |          6 |        235 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\parent_selection.dart                           | Dart       |        243 |          1 |         12 |        256 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart                                   | Dart       |        439 |         27 |         12 |        478 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\start.dart                                      | Dart       |        142 |          1 |          5 |        148 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\verify_email.dart                               | Dart       |        174 |          3 |          5 |        182 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\campaign\campaign.dart                               | Dart       |          0 |          0 |          1 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chat_input_box.dart                          | Dart       |         69 |          0 |          6 |         75 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chatbot.dart                                 | Dart       |        215 |          9 |         16 |        240 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\item_image_view.dart                         | Dart       |         21 |          0 |          4 |         25 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\consult\consult.dart                                 | Dart       |          0 |          1 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\course\course.dart                                   | Dart       |          0 |          1 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\donate\donate.dart                                   | Dart       |        195 |         27 |          8 |        230 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\discussion_page.dart                           | Dart       |        324 |          4 |         15 |        343 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\forum.dart                                     | Dart       |        474 |          5 |         21 |        500 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\games\games.dart                                     | Dart       |          0 |          1 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_base.dart                      | Dart       |         53 |          0 |          5 |         58 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_screen.dart                    | Dart       |        146 |          8 |          6 |        160 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_email.dart                           | Dart       |        229 |          0 |          5 |        234 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_name.dart                            | Dart       |        203 |          0 |          7 |        210 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_password.dart                        | Dart       |        343 |          6 |          6 |        355 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\settings.dart                               | Dart       |        402 |          9 |         32 |        443 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\under_construction\under_construction.dart           | Dart       |        121 |          1 |          6 |        128 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\language_changer.dart                        | Dart       |         44 |          0 |          4 |         48 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\theme_changer.dart                           | Dart       |         12 |          0 |          4 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\file_picking.dart                            | Dart       |         40 |          0 |          7 |         47 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\form_validator.dart                          | Dart       |         50 |          0 |          6 |         56 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\localization_change.dart                     | Dart       |         16 |          1 |          4 |         21 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_change.dart                            | Dart       |         20 |          0 |          4 |         24 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_controller.dart                        | Dart       |          4 |          0 |          2 |          6 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\invert_color.dart                                    | Dart       |          7 |          0 |          3 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\theme.dart                                           | Dart       |         51 |          0 |          5 |         56 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.cc                       | C++        |         15 |          4 |          5 |         24 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.h                        | C++        |          5 |          5 |          6 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugins.cmake                              | CMake      |         21 |          0 |          6 |         27 |
| d:\Projects\FlutterProjects\neuroparenting\linux\main.cc                                                      | C++        |          5 |          0 |          2 |          7 |
| d:\Projects\FlutterProjects\neuroparenting\linux\my_application.cc                                            | C++        |         74 |         11 |         20 |        105 |
| d:\Projects\FlutterProjects\neuroparenting\linux\my_application.h                                             | C++        |          7 |          7 |          5 |         19 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Flutter\GeneratedPluginRegistrant.swift                      | Swift      |         26 |          3 |          4 |         33 |
| d:\Projects\FlutterProjects\neuroparenting\macos\RunnerTests\RunnerTests.swift                                | Swift      |          7 |          2 |          4 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\AppDelegate.swift                                     | Swift      |          8 |          0 |          2 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |         68 |          0 |          0 |         68 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Base.lproj\MainMenu.xib                               | XML        |        343 |          0 |          1 |        344 |
| d:\Projects\FlutterProjects\neuroparenting\macos\Runner\MainFlutterWindow.swift                               | Swift      |         12 |          0 |          4 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\macos\firebase_app_id_file.json                                    | JSON       |          7 |          0 |          0 |          7 |
| d:\Projects\FlutterProjects\neuroparenting\public\index.html                                                  | HTML       |         79 |          6 |          5 |         90 |
| d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml                                                       | YAML       |         80 |         59 |         21 |        160 |
| d:\Projects\FlutterProjects\neuroparenting\test\widget_test.dart                                              | Dart       |         14 |         10 |          7 |         31 |
| d:\Projects\FlutterProjects\neuroparenting\web\index.html                                                     | HTML       |        103 |         16 |         16 |        135 |
| d:\Projects\FlutterProjects\neuroparenting\web\manifest.json                                                  | JSON       |         35 |          0 |          0 |         35 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc                     | C++        |         30 |          4 |          5 |         39 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugins.cmake                            | CMake      |         27 |          0 |          6 |         33 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.cpp                                  | C++        |         49 |          7 |         16 |         72 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.h                                    | C++        |         20 |          5 |          9 |         34 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\main.cpp                                            | C++        |         30 |          4 |         10 |         44 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\resource.h                                          | C++        |          9 |          6 |          2 |         17 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.cpp                                           | C++        |         54 |          2 |         10 |         66 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.h                                             | C++        |          8 |          6 |          6 |         20 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.cpp                                    | C++        |        210 |         24 |         55 |        289 |
| d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.h                                      | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                         |            |      8,220 |        480 |        710 |      9,410 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
